SystemVariableID,EntityTypeID,EntityTypeName,SystemVariableCode,SystemVariableDescription,NumericValue,Sequence,IsSystemGenerated,IsInactive,CompanyID,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,RowVersion
36,11,Mail_Importance,Low,Low,1,1,1,0,nagad,3,08:45.3,NULL,NULL,NULL,NULL,1
37,11,Mail_Importance,Normal,Normal,1,2,1,0,nagad,3,08:45.3,NULL,NULL,NULL,NULL,1
38,11,Mail_Importance,High,High,1,3,1,0,nagad,3,08:45.3,NULL,NULL,NULL,NULL,1
39,12,Mail_Sensitivity,Normal,Normal,1,1,1,0,nagad,3,08:45.3,NULL,NULL,NULL,NULL,1
40,12,Mail_Sensitivity,Personal,Personal,1,2,1,0,nagad,3,08:45.3,NULL,NULL,NULL,NULL,1
41,12,Mail_Sensitivity,Private,Private,1,3,1,0,nagad,3,08:45.3,NULL,NULL,NULL,NULL,1
42,12,Mail_Sensitivity,Confidential,Confidential,1,4,1,0,nagad,3,08:45.3,NULL,NULL,NULL,NULL,1
43,13,WalletType,Wallet,Wallet,1,1,1,0,nagad,3,49:03.3,NULL,NULL,NULL,NULL,1
44,14,WageCodeType,Fixed Income,Fixed Income,1,1,1,0,nagad,3,49:10.5,NULL,NULL,NULL,NULL,1
45,14,WageCodeType,Deduction,Deduction,1,2,1,0,nagad,3,49:10.5,NULL,NULL,NULL,NULL,1
46,14,WageCodeType,Addition,Addition,1,3,1,0,nagad,3,49:10.5,NULL,NULL,NULL,NULL,1
47,5,PersonType,Onboarding,Onboarding,1,3,1,0,nagad,3,57:34.3,NULL,NULL,NULL,NULL,1
48,6,EmployeeJobStatus,Discontinued,Discontinued,1,3,1,0,nagad,3,33:37.2,NULL,NULL,NULL,NULL,1
49,6,EmployeeJobStatus,Terminated,Terminated,1,3,1,0,nagad,3,33:37.2,NULL,NULL,NULL,NULL,1
50,15,SupervisorType,Regular,Regular,1,1,1,0,nagad,3,14:49.0,NULL,NULL,NULL,NULL,1
51,15,SupervisorType,Dotted,Dotted,1,2,1,0,nagad,3,14:49.0,NULL,NULL,NULL,NULL,1
52,15,SupervisorType,Delegated,Delegated,1,3,1,0,nagad,3,14:49.0,NULL,NULL,NULL,NULL,1
53,16,NFAApprovalSequenceType,Concurred,Concurred,1,1,1,0,nagad,3,21:57.2,NULL,NULL,NULL,NULL,1
54,16,NFAApprovalSequenceType,Approved,Approved,1,2,1,0,nagad,3,21:57.2,NULL,NULL,NULL,NULL,1
