MenuID,ParentID,ApplicationID,ID,Title,Translate,Type,Icon,Url,Badge,Target,Exact,Auth,Parameters,IsVisible,SequenceNo
40,39,1,financialyear-list,Financial Year List,Financial Year List,item,NULL,/apps/security/masterdata/financialyear/financialYearList,NULL,NULL,1,NULL,NULL,1,1.40
41,39,1,add-financialyear,Add Financial Year,Add Financial Year,item,NULL,/apps/security/masterdata/financialyear/addFinancialYear/new,NULL,NULL,1,NULL,NULL,1,1.41
42,26,1,shift,Shift,Shift,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.42
43,42,1,shift-list,Shift List,Shift List,item,NULL,/apps/hrms/masterdata/shiftList,NULL,NULL,1,NULL,NULL,1,1.43
44,42,1,shift-new,Add Shift,Add Shift,item,NULL,/apps/hrms/masterdata/shift/new,NULL,NULL,1,NULL,NULL,1,1.44
45,26,1,leave,Leave,Leave,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.45
46,45,1,leave-policy,Leave Policy,Leave Policy,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.46
47,46,1,leavepolicy-list,Leave Policy List,Leave Policy List,item,NULL,/apps/hrms/masterdata/leave/leavepolicyList,NULL,NULL,1,NULL,NULL,1,1.47
48,46,1,add-leavepolicy,Add Leave Policy,Add Leave Policy,item,NULL,/apps/hrms/masterdata/leave/addLeavepolicy/new,NULL,NULL,1,NULL,NULL,1,1.48
49,26,1,holiday-new,Holiday,Holiday,item,NULL,/apps/hrms/masterdata/holiday/new,NULL,NULL,1,NULL,NULL,1,1.49
50,45,1,employee-leave-account,Emp. Leave Account,Emp. Leave Account,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.50
51,50,1,employeeleaveaccount-list,Emp. Leave Account List,Emp. Leave Account List,item,NULL,/apps/hrms/masterdata/employeeleaveaccount/employeeleaveaccountList,NULL,NULL,1,NULL,NULL,1,1.51
52,50,1,add-employeeleaveaccount,Add Emp. Leave Account,Add Emp. Leave Account,item,NULL,/apps/hrms/masterdata/employeeleaveaccount/addEmployeeleaveaccount/new,NULL,NULL,1,NULL,NULL,1,1.52
53,23,1,leave  Managment,Leave Managment,Leave Managment,collapse,how_to_reg,NULL,NULL,NULL,1,NULL,NULL,1,1.53
54,202,1,leave-application-list,Apply Leave Application,Apply Leave Application,item,NULL,/apps/hrms/leave-management/leave-application/employee/new,NULL,NULL,1,NULL,NULL,1,1.54
55,67,1,approval-process,Approval Process,Approval Process,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.55
56,55,1,approvaltype,Approval Type,Approval Type,item,NULL,/apps/approval/approvalType,NULL,NULL,1,NULL,NULL,1,1.56
57,55,1,approvalstaus,Approval Satus,Approval Satus,item,NULL,/apps/approval/approvalStatus,NULL,NULL,1,NULL,NULL,1,1.57
58,55,1,approvalpanel,Approval Panel,Approval Panel,item,NULL,/apps/approval/approvalPanel,NULL,NULL,1,NULL,NULL,1,1.58
59,55,1,employeepanelmap,Emp. Panel Map,Emp. Panel Map,item,NULL,/apps/approval/employeepanelMap,NULL,NULL,1,NULL,NULL,1,1.59
